,res_id,name,lat,lng,cuisines,aggregate_rating,rating_text,votes,FirstCuisine,SecondCuisine,ThirdCuisine,FourthCuisine
163,16972227,Sushi Kazu,39.5955388889,-104.8469166667,"Japanese, Sushi",3.8,Good,20,Japanese, Sushi,,
164,16969530,Kassai Sushi,39.7276916667,-104.9037555556,"Sushi, Japanese, Asian",3.7,Good,27,Sushi, Japanese, Asian,
165,16974827,Mt Fuji,39.8902590000,-105.0684160000,"Japanese, Sushi",3.6,Good,22,Japanese, Sushi,,
166,16969566,Kokoro,39.6734666667,-104.9400250000,"Japanese, Sushi",3.8,Good,25,Japanese, Sushi,,
167,16973553,Bao,39.9615138889,-105.1635194444,"Asian, Sushi",3.8,Good,22,Asian, Sushi,,
168,16968464,Dragon Boat,39.6753166667,-104.8307111111,"Chinese, Sushi, Thai",3.8,Good,30,Chinese, Sushi, Thai,
169,16969550,Kikis Japanese Casual Dining,39.6724027778,-104.9401777778,"Japanese, Sushi",3.8,Good,21,Japanese, Sushi,,
170,16975920,Soko,39.7469250000,-104.9935222222,"Japanese, Seafood, Sushi",3.6,Good,9,Japanese, Seafood, Sushi,
171,16967104,Bara Sushi & Grill,39.6226277778,-104.8958194444,"Thai, Sushi",3.8,Good,23,Thai, Sushi,,
172,16972579,Tokyo Joe's,39.9153250000,-104.9989555556,"Japanese, Sushi",3.8,Good,27,Japanese, Sushi,,
173,16971506,Sakura Japanese Cuisine,40.1508390000,-105.1542190000,"Japanese, Sushi",4.0,Very Good,24,Japanese, Sushi,,
174,16972682,Uoki Japanese,39.7257000000,-104.9786750000,"Japanese, Korean, Sushi, Asian",3.6,Good,19,Japanese, Korean, Sushi, Asian
175,16974481,Sushi Leo,40.1435972222,-105.1322111111,"Japanese, Sushi",3.8,Good,20,Japanese, Sushi,,
176,16968779,Fontana Sushi,39.7111388889,-104.9809194444,"Sushi, Japanese",3.8,Good,22,Sushi, Japanese,,
177,16972582,Tokyo Joe's,39.7370750000,-105.1600805556,"Japanese, Sushi",3.7,Good,23,Japanese, Sushi,,
178,16973213,Yutaka Japanese Restaurant,39.5100027778,-104.7684472222,"Japanese, Sushi",3.7,Good,20,Japanese, Sushi,,
179,16974430,Sushi Castle,39.4062944444,-104.8550555556,"Japanese, Korean, Sushi",3.6,Good,12,Japanese, Korean, Sushi,
180,16974474,Sunflower Asian Cafe,39.5735600000,-104.9898000000,"Asian, Chinese, Sushi",3.7,Good,15,Asian, Chinese, Sushi,
181,16975592,Sushi Aji,39.8127275000,-105.1657212000,Sushi,3.6,Good,16,Sushi,,,
182,16972586,Tokyo Joe's,39.5677944444,-104.8802805556,"Japanese, Sushi",3.7,Good,16,Japanese, Sushi,,
183,16972676,United Chinese,39.9278916667,-104.9388583333,"Chinese, Sushi",3.9,Good,21,Chinese, Sushi,,
184,16967824,Chicken Teriyaki,39.7027583333,-104.9121777778,"Asian, Japanese, Sushi",3.7,Good,11,Asian, Japanese, Sushi,
185,16974812,Thai Green and Sushi,39.7633030000,-105.1423880000,"Asian, Sushi, Thai",3.7,Good,16,Asian, Sushi, Thai,
186,16971751,Sonoda's Sushi and Seafood,39.5685100000,-104.8786900000,"Japanese, Seafood, Sushi",3.7,Good,18,Japanese, Seafood, Sushi,
187,16972240,Sushi Yoshi,39.9791220000,-105.1309860000,"Asian, Sushi",3.7,Good,14,Asian, Sushi,,
188,16971749,Sonoda's Sushi & Seafood,39.6606361111,-104.8526166667,"Japanese, Sushi",3.7,Good,17,Japanese, Sushi,,
189,16975606,Okinawa Sushi,39.5788260000,-105.1391840000,"Sushi, Japanese",3.5,Good,12,Sushi, Japanese,,
190,16975896,Sushi North,39.9147722222,-104.9937444444,"Sushi, Japanese, Asian",3.5,Good,12,Sushi, Japanese, Asian,
191,17979132,Smokin Fins,39.6137111111,-105.0180194444,"Seafood, Sushi",3.2,Average,13,Seafood, Sushi,,
192,16976310,Sawara,39.4088333333,-104.8595055556,"Japanese, Sushi",3.3,Average,9,Japanese, Sushi,,
193,16972588,Tokyo Joe's,39.5810138889,-104.8864277778,"Japanese, Sushi",3.4,Average,16,Japanese, Sushi,,
194,16975465,Sakura,39.6382966000,-105.0824098000,"Japanese, Sushi",3.3,Average,13,Japanese, Sushi,,
195,16975285,Sushi Bay,39.7706194444,-105.0440444444,"Sushi, Japanese",3.6,Good,12,Sushi, Japanese,,
196,16975397,Thai Chili and Sushi,39.7733916667,-104.7985916667,"Sushi, Thai, Asian",3.5,Good,15,Sushi, Thai, Asian,
197,16975506,Epernay Lounge,39.7458500000,-104.9975750000,"Sushi, New American",3.3,Average,13,Sushi, New American,,
198,16973536,Tokyo Joe's,39.6062800000,-104.7083130000,"Japanese, Sushi",3.5,Good,18,Japanese, Sushi,,
199,17820902,Sushi Totoro,39.6400194444,-104.7930833333,Sushi,3.2,Average,8,Sushi,,,
200,16967791,Cherry Cricket,39.7194800000,-104.9567300000,"American, Burger, Mexican",4.7,Excellent,865,American, Burger, Mexican,
201,16973012,Wynkoop,39.7533500000,-104.9985300000,"American, Burger, Bar Food",4.4,Very Good,420,American, Burger, Bar Food,
202,16973776,Park Burger,39.6822750000,-104.9804472222,"American, Burger",4.9,Excellent,256,American, Burger,,
203,16967789,Cherry Creek Grill,39.7193555556,-104.9496611111,"Burger, American, Steak",4.4,Very Good,207,Burger, American, Steak,
204,16974364,Crave Real Burgers,39.3948400000,-104.8886300000,Burger,4.6,Excellent,147,Burger,,,
205,16974353,Highland Tap and Burger,39.7622700000,-105.0133300000,"American, Burger, Bar Food",4.3,Very Good,134,American, Burger, Bar Food,
206,16973328,Rockyard American Grill & Brewing Company,39.4091250000,-104.8694444444,"Burger, American",4.1,Very Good,104,Burger, American,,
207,16971366,Rialto Cafe,39.7470194444,-104.9945055556,"New American, Sandwich, Burger",3.8,Good,136,New American, Sandwich, Burger,
208,16971149,Pumphouse Brewery,40.1688222222,-105.1023861111,"American, Burger, Tex-Mex",4.5,Excellent,139,American, Burger, Tex-Mex,
209,16973184,Five Guys,39.6746210000,-104.8704510000,"Fast Food, Burger",4.4,Very Good,116,Fast Food, Burger,,
210,16973842,Lo Hi Steak Bar,39.7621800000,-105.0110900000,"American, Burger, Steak",4.2,Very Good,101,American, Burger, Steak,
211,16974072,Cheddar's Scratch Kitchen,39.5936100000,-104.8043100000,"American, Burger, Bar Food",4.3,Very Good,88,American, Burger, Bar Food,
212,16974037,Highland Tavern,39.7645611111,-105.0039361111,"American, Burger, Bar Food",4.2,Very Good,95,American, Burger, Bar Food,
213,16975030,Twin Peaks,39.7365416667,-105.1565777778,"American, Burger",3.6,Good,86,American, Burger,,
214,16971518,Sam's No. 3 Aurora,39.6697400000,-104.8655800000,"Burger, Diner, Mexican, American",4.1,Very Good,98,Burger, Diner, Mexican, American
215,16972496,Ted's Montana Grill,39.7722555556,-104.7968833333,"American, Burger, Steak",4.0,Very Good,98,American, Burger, Steak,
216,16975045,Ignite Kitchen + Cocktails,39.7544300000,-104.9901500000,"American, Burger",3.9,Good,69,American, Burger,,
217,16976545,5280 Burger Bar - Downtown Denver Pavilions,39.7435364000,-104.9913688000,Burger,3.6,Good,37,Burger,,,
218,16973133,Two Dog Diner,40.1355250000,-105.1034388889,"American, Burger, Diner",4.1,Very Good,73,American, Burger, Diner,
219,16974391,Park & Co,39.7435000000,-104.9814083333,"American, Burger",4.2,Very Good,73,American, Burger,,
220,16973961,The Lobby American Grille,39.7534890000,-104.9888940000,"American, Burger, Steak",3.9,Good,49,American, Burger, Steak,
221,16974349,The Copper Pot,39.6531611111,-104.9813388889,"American, Burger",4.4,Very Good,61,American, Burger,,
222,16972495,Ted's Montana Grill,39.7474444444,-104.9998027778,"American, Burger, Steak",3.8,Good,68,American, Burger, Steak,
223,16969059,Hard Rock Café,39.7435916667,-104.9905083333,"American, Burger",3.2,Average,67,American, Burger,,
224,16973516,Bud's Cafe & Bar,39.4374388889,-104.9624416667,"American, Burger",4.1,Very Good,35,American, Burger,,
225,16971699,Sloan's Bar & Grill,39.7530166667,-105.0613250000,"American, Burger, Bar Food",4.3,Very Good,53,American, Burger, Bar Food,
226,16968970,Govnr's Park Tavern,39.7264700000,-104.9820100000,"American, Burger",3.7,Good,69,American, Burger,,
227,16976248,Thirsty Lion,39.7521861111,-105.0008916667,"Burger, Bar Food",3.6,Good,26,Burger, Bar Food,,
228,16973319,Pegasus on the Square,39.3729388889,-104.8614361111,"Burger, Greek, Mexican",3.8,Good,47,Burger, Greek, Mexican,
229,16974781,Park Burger,39.7621472222,-105.0199972222,"American, Burger",3.9,Good,39,American, Burger,,
230,16973967,Urban Sombrero,39.7731472222,-104.7986055556,"American, Burger, Tex-Mex",3.9,Good,38,American, Burger, Tex-Mex,
231,16972497,Ted's Montana Grill,39.5826694444,-105.0262833333,"American, Burger, Steak",3.9,Good,55,American, Burger, Steak,
232,16974633,Tag Burger Bar,39.7356527778,-104.9460305556,"American, Burger",3.8,Good,42,American, Burger,,
233,16976064,Bad Daddy's Burger Bar,39.7201166667,-104.9521333333,"Burger, American",3.8,Good,34,Burger, American,,
234,16969845,Lodo's Bar & Grill,39.7531400000,-104.9935700000,"American, Burger",3.7,Good,39,American, Burger,,
235,16974506,Larkburger,39.6229166667,-104.8971166667,Burger,3.7,Good,39,Burger,,,
236,16973638,Ted's Montana Grill,39.9134861111,-105.0415500000,"American, Burger, Steak",3.8,Good,40,American, Burger, Steak,
237,16974455,Juicy,39.5923527778,-104.8871472222,"Burger, American",4.0,Very Good,32,Burger, American,,
238,16975022,The Rock Wood Fired Kitchen,39.7092900000,-105.0791100000,"Burger, Pizza, Sandwich, American",3.7,Good,31,Burger, Pizza, Sandwich, American
239,16974751,Larkburger,39.7108222222,-104.9832833333,"American, Burger",3.7,Good,40,American, Burger,,
240,16968493,Earls Kitchen + Bar,39.5645218000,-104.8743973000,"American, Burger, Steak",3.7,Good,44,American, Burger, Steak,
241,16973098,The Elm,39.7403000000,-104.9296500000,"Burger, Bar Food",3.8,Good,35,Burger, Bar Food,,
242,16967160,Bender's Brat Haus,39.7040972222,-104.7900472222,"Burger, Sandwich, German",4.2,Very Good,25,Burger, Sandwich, German,
243,16969365,Jay's Grille and Bar,39.8387333333,-104.9772111111,"American, Tex-Mex, Burger",4.1,Very Good,26,American, Tex-Mex, Burger,
244,16976586,Terminal Bar,39.7530861111,-105.0001055556,"Burger, American",3.3,Average,13,Burger, American,,
245,16975297,Yard House,39.5591000000,-104.8752100000,"American, Burger, Pizza",3.5,Good,34,American, Burger, Pizza,
246,16973783,Dickens Tavern,40.1641583333,-105.1024083333,"American, Burger",3.9,Good,33,American, Burger,,
247,16973539,The Fainting Goat Pub,39.7299500000,-104.9873805556,"American, Burger, Pub Food",3.9,Good,31,American, Burger, Pub Food,
248,16969385,Jim's Burger Haven,39.8390194444,-105.0534972222,Burger,3.9,Good,32,Burger,,,
249,16977226,Hopdoddy Gourmet Burger Bar,39.7535666667,-104.9992972222,Burger,3.5,Good,18,Burger,,,
250,16975545,Larkburger,39.7456930000,-104.9920260000,"American, Burger",3.6,Good,18,American, Burger,,
251,16974302,Ted's Montana Grill,39.6047066000,-104.7088338000,"American, Burger, Steak",3.7,Good,28,American, Burger, Steak,
252,16972978,The Wishbone,39.8729361111,-105.0258861111,"American, Burger",3.9,Good,26,American, Burger,,
253,16967071,Back Street Tavern and Grill,39.6955151000,-104.8686370000,"American, Burger, Bar Food",3.5,Good,5,American, Burger, Bar Food,
254,16971312,Red Robin Gourmet Burgers and Brews,39.6898305556,-104.8661277778,"American, Burger",3.8,Good,16,American, Burger,,
255,16975482,Bob's Atomic Burgers,39.7553822000,-105.2183103000,Burger,3.8,Good,24,Burger,,,
256,16974192,Freddy's,39.6958972222,-104.8645861111,"Burger, Desserts, Fast Food",3.8,Good,17,Burger, Desserts, Fast Food,
257,16971317,Red Robin Gourmet Burgers,39.6110300000,-105.0837100000,"American, Burger",3.8,Good,17,American, Burger,,
258,16971320,Red Robin,39.5512472222,-104.7741000000,"American, Burger",3.9,Good,21,American, Burger,,
259,16973181,College Inn,39.7291416667,-104.9360722222,"Burger, Tex-Mex",3.6,Good,24,Burger, Tex-Mex,,
260,16973819,Five Guys,40.1893611111,-105.1017305556,"Burger, American",4.0,Very Good,32,Burger, American,,
261,16975533,Crave Real Burgers,39.5475500000,-104.9994800000,Burger,3.6,Good,24,Burger,,,
262,16974583,Famous Dave's,39.5942527778,-104.8053805556,"American, BBQ, Burger",3.8,Good,28,American, BBQ, Burger,
263,16973797,Platte River Bar & Grill,39.6049944444,-105.0210638889,"American, Mexican, Burger",3.8,Good,28,American, Mexican, Burger,
264,16967964,Chopper's,39.7150610000,-104.9459970000,"American, Burger, Mexican",3.6,Good,26,American, Burger, Mexican,
265,16975050,Cedar Creek Pub,39.7487210000,-104.8367449000,"American, Burger, Bar Food",3.7,Good,23,American, Burger, Bar Food,
266,16971792,Sports Column,39.7536888889,-104.9949805556,"American, Burger, Bar Food",3.7,Good,30,American, Burger, Bar Food,
267,16968161,Crown Burgers,39.6767777778,-104.9406361111,"American, Burger",3.9,Good,25,American, Burger,,
268,16975308,The Rock Wood Fired Pizza,39.5624361111,-104.9889611111,"Burger, Pizza, Sandwich, American",3.7,Good,24,Burger, Pizza, Sandwich, American
269,16975901,Lowry Beer Garden,39.7201888889,-104.8961416667,"American, Burger",3.5,Good,17,American, Burger,,
270,16974660,Brooks Place Tavern,39.5437972222,-105.2879861111,"American, Burger",3.7,Good,14,American, Burger,,
271,16974075,Freddy's,39.6228104000,-105.0201364000,"Burger, Desserts, Fast Food",4.1,Very Good,24,Burger, Desserts, Fast Food,
272,16973664,The Rebellion,39.6761805556,-104.9877611111,"Pizza, Burger",3.3,Average,22,Pizza, Burger,,
273,16971310,Red Robin,39.5621388889,-104.9900194444,"American, Burger",3.6,Good,24,American, Burger,,
274,16973505,Bucksnort Saloon,39.4315000000,-105.3185000000,"BBQ, Burger, Mexican",3.6,Good,19,BBQ, Burger, Mexican,
275,16973201,Shelby's Bar & Grill,39.7460111111,-104.9883805556,"Bar Food, Burger",3.5,Good,19,Bar Food, Burger,,
276,16971316,Red Robin Gourmet Burgers and Brews,39.7906805556,-105.0784222222,"American, Burger",3.6,Good,18,American, Burger,,
277,16974714,Lauer Krauts,39.9861900000,-104.8151100000,"Burger, Desserts",3.6,Good,22,Burger, Desserts,,
278,16973848,Icehouse Tavern,39.7541916667,-104.9978416667,"Burger, Sandwich, Bar Food",3.6,Good,20,Burger, Sandwich, Bar Food,
279,16975642,Uber Eats,39.7583070000,-105.0099170000,"Burger, Sandwich",3.6,Good,9,Burger, Sandwich,,
280,16973832,Dougherty's,39.7167200000,-104.9872690000,"Burger, Bar Food",3.6,Good,22,Burger, Bar Food,,
281,16973964,Tony's,39.7312000000,-104.9873722222,"American, Burger, Pizza",3.6,Good,21,American, Burger, Pizza,
282,16973386,Wing Wagon,39.5394972222,-105.3001472222,"BBQ, Burger, Sandwich",4.0,Very Good,13,BBQ, Burger, Sandwich,
283,16975226,The Copper Pot,39.6659750000,-104.9874420000,"American, Burger",3.6,Good,17,American, Burger,,
284,16969384,Jim's Burger Haven,39.8564370000,-104.9795300000,Burger,3.9,Good,21,Burger,,,
285,16974083,Five Guys,39.5943194444,-104.8061666667,Burger,3.6,Good,19,Burger,,,
286,16975646,CHUBurger,40.1520222222,-105.1138222222,Burger,3.5,Good,25,Burger,,,
287,16974397,Ari's Tavern,39.8001630000,-105.0062140000,"American, Burger, Bar Food",3.6,Good,12,American, Burger, Bar Food,
288,16974283,Waterton Tavern,39.4844730000,-105.0733930000,"Burger, American",3.7,Good,16,Burger, American,,
289,16968146,Cowbobas,39.6789861111,-105.0243000000,"American, Burger",3.6,Good,15,American, Burger,,
290,16975448,Teller's Taproom & Kitchen,39.7470630000,-105.1420530000,Burger,3.6,Good,16,Burger,,,
291,16975739,Big Smoke Burger,39.7052472222,-104.9392250000,Burger,3.5,Good,15,Burger,,,
292,16974168,Swingers Sports Lounge and Grill,39.5540220000,-104.8782450000,"American, Burger, Pizza",3.7,Good,16,American, Burger, Pizza,
293,16971319,Red Robin Gourmet Burgers and Brews,39.5952805556,-104.8896722222,"American, Burger",3.5,Good,25,American, Burger,,
294,16969017,Gunther Toody's Diner,39.6068194444,-105.0908583333,"Burger, American",3.4,Average,19,Burger, American,,
295,16974216,Bar Louie,39.8901448819,-105.0692617893,"American, Burger, Mexican",3.4,Average,19,American, Burger, Mexican,
296,16968977,Grandpa's Burger Haven,39.7158400000,-105.0254900000,Burger,3.8,Good,13,Burger,,,
297,16968732,Fatburger,39.7130250000,-104.8225944444,Burger,3.5,Good,12,Burger,,,
298,16972664,Twisters,39.6842000000,-104.7907210000,"Burger, Mexican",3.7,Good,15,Burger, Mexican,,
299,16973085,Buffalo Rose Saloon,39.7556638889,-105.2212305556,"Burger, Bar Food",3.4,Average,20,Burger, Bar Food,,
300,16969910,Lucile's Creole Cafe,39.7115277778,-104.9829472222,"Cafe, Cajun",4.6,Excellent,241,Cafe, Cajun,,
301,16975729,Voodoo Doughnut,39.7399638889,-104.9692694444,"Cafe, Desserts",4.1,Very Good,156,Cafe, Desserts,,
302,16974085,Crema,39.7611722222,-104.9819250000,Cafe,3.9,Good,65,Cafe,,,
303,16969911,Lucile's Creole Cafe,40.1682694444,-105.1011277778,"Cafe, Cajun",4.2,Very Good,80,Cafe, Cajun,,
304,16974838,Lucile's Creole Cafe,39.6123083333,-105.0242527778,"Cafe, Cajun",3.9,Good,67,Cafe, Cajun,,
305,16971980,Stella's Coffee Haus,39.6897277778,-104.9802333333,"Cafe, Desserts",4.2,Very Good,74,Cafe, Desserts,,
306,16973845,The French Press,39.7091970000,-105.0786280000,Cafe,4.0,Very Good,51,Cafe,,,
307,16967055,Aviano Coffee,39.7203361111,-104.9545361111,Cafe,3.8,Good,37,Cafe,,,
308,16971806,St. Mark's Coffeehouse,39.7433777778,-104.9629277778,"Cafe, Sandwich, Coffee and Tea",3.9,Good,34,Cafe, Sandwich, Coffee and Tea,
309,16969684,LaMar's Donuts and Coffee,39.6749370000,-104.8707120000,"Cafe, Donuts",3.5,Good,9,Cafe, Donuts,,
310,16967629,Cake Crumbs Bakery & Cafe,39.7495000000,-104.9174600000,"Desserts, Cafe",3.8,Good,39,Desserts, Cafe,,
311,16975911,Sugarmill,39.7574805556,-104.9869222222,"Desserts, Cafe",3.7,Good,24,Desserts, Cafe,,
312,16974339,Wooden Spoon Cafe & Bakery,39.7620000000,-105.0164111111,"Desserts, Cafe",4.2,Very Good,25,Desserts, Cafe,,
313,16974301,Ziggi's Coffee House,40.1658083333,-105.1022861111,Cafe,3.7,Good,22,Cafe,,,
314,16974525,Coffee at The Point,39.7545861111,-104.9778750000,Cafe,3.5,Good,13,Cafe,,,
315,16974555,Two Rivers Coffee,39.8378333333,-105.0834416667,Cafe,4.0,Very Good,28,Cafe,,,
316,16975525,The French Press,39.6743777778,-104.8102944444,Cafe,3.7,Good,29,Cafe,,,
317,16973173,In-Tea,39.6136583333,-105.0168694444,Cafe,3.9,Good,23,Cafe,,,
318,16973096,Fluid Coffee Bar,39.7462111111,-104.9809416667,Cafe,3.6,Good,29,Cafe,,,
319,16974531,Bittersweet,39.7109861111,-104.9812472222,"Cafe, Sandwich",3.4,Average,31,Cafe, Sandwich,,
320,16976918,Tea Cloud,39.7473833333,-104.9928138889,"Cafe, Bubble Tea",3.2,Average,7,Cafe, Bubble Tea,,
321,16970626,Pablo's Coffee,39.7254472222,-104.9790194444,Cafe,3.7,Good,28,Cafe,,,
322,16974065,Dazbog Coffee,39.7305361111,-104.9728777778,Cafe,3.5,Good,26,Cafe,,,
323,16976781,Pigtrain Coffee Company,39.7531250000,-105.0001972222,Cafe,3.1,Average,10,Cafe,,,
324,17969727,Carbon Cafe & Bar,39.7436800000,-104.9880300000,"Coffee and Tea, Cafe",3.3,Average,7,Coffee and Tea, Cafe,,
325,16973591,Hooked on Colfax,39.7403194444,-104.9496388889,"Cafe, Bagels",3.7,Good,22,Cafe, Bagels,,
326,16972773,Village Roaster Coffee & Tea,39.7122416667,-105.1006166667,"Cafe, Coffee and Tea",3.6,Good,17,Cafe, Coffee and Tea,,
327,16972547,Cafe 13,39.7541083333,-105.2213888889,"Cafe, Sandwich",3.7,Good,21,Cafe, Sandwich,,
